**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
5.0,Elevator call,4.374727290393253,0,-1,1,0, got allocated to elevator, 0
5.0, elevID,0,  pos,-2,  cmd, goto,-2
6.0, elevID,0,  pos,-2,  cmd, goto,-2
7.0, elevID,0,  pos,-2,  cmd, goto,-2
8.0, elevID,0,  pos,-2,  cmd, goto,-2
9.0, elevID,0,  pos,-2,  cmd, goto,-2
10.0, elevID,0,  pos,-2,  cmd, goto,-2
11.0, elevID,0,  pos,-2,  cmd, goto,-2
12.0, elevID,0,  pos,-2,  cmd, goto,-2
13.0, elevID,0,  pos,-2,  cmd, goto,-2
14.0, elevID,0,  pos,-2,  cmd, goto,-2
15.0, elevID,0,  pos,-2,  cmd, goto,-2
16.0, elevID,0,  pos,-2,  cmd, goto,-2
17.0,Elevator call,16.957882888088932,-1,0,1,0, got allocated to elevator, 0
17.0, elevID,0,  pos,-2,  cmd, goto,-2
18.0, elevID,0,  pos,-2,  cmd, goto,-2
19.0, elevID,0,  pos,-2,  cmd, goto,-2
20.0, elevID,0,  pos,-2,  cmd, goto,-2
21.0, elevID,0,  pos,-2,  cmd, goto,-2
22.0, elevID,0,  pos,-2,  cmd, goto,-2
23.0,Elevator call,22.094056301593582,0,-1,1,1, got allocated to elevator, 1
23.0, elevID,0,  pos,-2,  cmd, goto,-2
23.0, elevID,1,  pos,-2,  cmd, goto,-2
24.0, elevID,0,  pos,-2,  cmd, goto,-2
24.0, elevID,1,  pos,-2,  cmd, goto,-2
25.0, elevID,0,  pos,-2,  cmd, goto,-2
25.0, elevID,1,  pos,-2,  cmd, goto,-2
26.0, elevID,0,  pos,-2,  cmd, goto,-2
26.0, elevID,1,  pos,-2,  cmd, goto,-2
27.0, elevID,0,  pos,-2,  cmd, goto,-2
27.0, elevID,1,  pos,-2,  cmd, goto,-2
28.0, elevID,0,  pos,-2,  cmd, goto,-2
28.0, elevID,1,  pos,-2,  cmd, goto,-2
29.0, elevID,0,  pos,-2,  cmd, goto,-2
29.0, elevID,1,  pos,-2,  cmd, goto,-2
30.0, elevID,0,  pos,-2,  cmd, goto,-2
30.0, elevID,1,  pos,-2,  cmd, goto,-2
31.0, elevID,0,  pos,-2,  cmd, goto,-2
31.0, elevID,1,  pos,-2,  cmd, goto,-2
32.0, elevID,0,  pos,-2,  cmd, goto,-2
32.0, elevID,1,  pos,-2,  cmd, goto,-2
33.0, elevID,0,  pos,-2,  cmd, goto,-2
33.0, elevID,1,  pos,-2,  cmd, goto,-2
34.0, elevID,0,  pos,-2,  cmd, goto,-2
34.0, elevID,1,  pos,-2,  cmd, goto,-2
35.0, elevID,0,  pos,-2,  cmd, goto,-2
35.0, elevID,1,  pos,-2,  cmd, goto,-2
36.0, elevID,0,  pos,-2,  cmd, goto,-2
36.0, elevID,1,  pos,-2,  cmd, goto,-2
37.0, elevID,0,  pos,-2,  cmd, goto,-2
37.0, elevID,1,  pos,-2,  cmd, goto,-2
