**** The Simulator log: stage 9
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-10,100]
0) ex0.simulator.Elevator_A, Elev_0, speed: 5.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 10.0, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 12.0, open/close: 2.0,  start/stop: 3.0
4) ex0.simulator.Elevator_A, Elev_4, speed: 2.0, open/close: 2.0,  start/stop: 3.0
5) ex0.simulator.Elevator_A, Elev_5, speed: 3.0, open/close: 2.0,  start/stop: 3.0
6) ex0.simulator.Elevator_A, Elev_6, speed: 4.0, open/close: 2.0,  start/stop: 3.0
7) ex0.simulator.Elevator_A, Elev_7, speed: 4.0, open/close: 2.0,  start/stop: 3.0
8) ex0.simulator.Elevator_A, Elev_8, speed: 4.0, open/close: 2.0,  start/stop: 3.0
9) ex0.simulator.Elevator_A, Elev_9, speed: 4.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,3600.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 1000
0.0,**** Simulation starts!! ****
5.0,Elevator call,4.181791416969872,-7,-4,1,3, got allocated to elevator, 3
5.0, elevID,3,  pos,-10,  cmd, goto,-10
6.0, elevID,3,  pos,-10,  cmd, goto,-10
7.0, elevID,3,  pos,-10,  cmd, goto,-10
8.0, elevID,3,  pos,-10,  cmd, goto,-10
9.0, elevID,3,  pos,-10,  cmd, goto,-10
10.0,Elevator call,9.088234750896163,-8,24,1,1, got allocated to elevator, 1
10.0, elevID,1,  pos,-10,  cmd, goto,-10
10.0, elevID,3,  pos,-10,  cmd, goto,-10
11.0, elevID,1,  pos,-10,  cmd, goto,-10
11.0, elevID,3,  pos,-10,  cmd, goto,-10
12.0, elevID,1,  pos,-10,  cmd, goto,-10
12.0, elevID,3,  pos,-10,  cmd, goto,-10
13.0, elevID,1,  pos,-10,  cmd, goto,-10
13.0, elevID,3,  pos,-10,  cmd, goto,-10
14.0, elevID,1,  pos,-10,  cmd, goto,-10
14.0, elevID,3,  pos,-10,  cmd, goto,-10
15.0, elevID,1,  pos,-10,  cmd, goto,-10
15.0, elevID,3,  pos,-10,  cmd, goto,-10
16.0, elevID,1,  pos,-10,  cmd, goto,-10
16.0, elevID,3,  pos,-10,  cmd, goto,-10
17.0, elevID,1,  pos,-10,  cmd, goto,-10
17.0, elevID,3,  pos,-10,  cmd, goto,-10
18.0, elevID,1,  pos,-10,  cmd, goto,-10
18.0, elevID,3,  pos,-10,  cmd, goto,-10
19.0, elevID,1,  pos,-10,  cmd, goto,-10
19.0, elevID,3,  pos,-10,  cmd, goto,-10
20.0, elevID,1,  pos,-10,  cmd, goto,-10
20.0, elevID,3,  pos,-10,  cmd, goto,-10
21.0, elevID,1,  pos,-10,  cmd, goto,-10
21.0, elevID,3,  pos,-10,  cmd, goto,-10
22.0, elevID,1,  pos,-10,  cmd, goto,-10
22.0, elevID,3,  pos,-10,  cmd, goto,-10
23.0, elevID,1,  pos,-10,  cmd, goto,-10
23.0, elevID,3,  pos,-10,  cmd, goto,-10
24.0,Elevator call,23.235924121476728,-5,-3,1,1, got allocated to elevator, 1
24.0, elevID,1,  pos,-10,  cmd, goto,-10
24.0, elevID,3,  pos,-10,  cmd, goto,-10
25.0, elevID,1,  pos,-10,  cmd, goto,-10
25.0, elevID,3,  pos,-10,  cmd, goto,-10
26.0,Elevator call,25.401489874449226,-4,86,1,3, got allocated to elevator, 3
26.0, elevID,1,  pos,-10,  cmd, goto,-10
26.0, elevID,3,  pos,-10,  cmd, goto,-10
27.0,Elevator call,26.510341549025043,-3,-4,1,0, got allocated to elevator, 0
27.0, elevID,0,  pos,-10,  cmd, goto,-10
27.0, elevID,1,  pos,-10,  cmd, goto,-10
27.0, elevID,3,  pos,-10,  cmd, goto,-10
28.0, elevID,0,  pos,-10,  cmd, goto,-10
28.0, elevID,1,  pos,-10,  cmd, goto,-10
28.0, elevID,3,  pos,-10,  cmd, goto,-10
29.0, elevID,0,  pos,-10,  cmd, goto,-10
29.0, elevID,1,  pos,-10,  cmd, goto,-10
29.0, elevID,3,  pos,-10,  cmd, goto,-10
30.0, elevID,0,  pos,-10,  cmd, goto,-10
30.0, elevID,1,  pos,-10,  cmd, goto,-10
30.0, elevID,3,  pos,-10,  cmd, goto,-10
31.0, elevID,0,  pos,-10,  cmd, goto,-10
31.0, elevID,1,  pos,-10,  cmd, goto,-10
31.0, elevID,3,  pos,-10,  cmd, goto,-10
32.0, elevID,0,  pos,-10,  cmd, goto,-10
32.0, elevID,1,  pos,-10,  cmd, goto,-10
32.0, elevID,3,  pos,-10,  cmd, goto,-10
33.0, elevID,0,  pos,-10,  cmd, goto,-10
33.0, elevID,1,  pos,-10,  cmd, goto,-10
33.0, elevID,3,  pos,-10,  cmd, goto,-10
34.0, elevID,0,  pos,-10,  cmd, goto,-10
34.0, elevID,1,  pos,-10,  cmd, goto,-10
34.0, elevID,3,  pos,-10,  cmd, goto,-10
35.0, elevID,0,  pos,-10,  cmd, goto,-10
35.0, elevID,1,  pos,-10,  cmd, goto,-10
35.0, elevID,3,  pos,-10,  cmd, goto,-10
36.0, elevID,0,  pos,-10,  cmd, goto,-10
36.0, elevID,1,  pos,-10,  cmd, goto,-10
36.0, elevID,3,  pos,-10,  cmd, goto,-10
37.0, elevID,0,  pos,-10,  cmd, goto,-10
37.0, elevID,1,  pos,-10,  cmd, goto,-10
37.0, elevID,3,  pos,-10,  cmd, goto,-10
38.0, elevID,0,  pos,-10,  cmd, goto,-10
38.0, elevID,1,  pos,-10,  cmd, goto,-10
38.0, elevID,3,  pos,-10,  cmd, goto,-10
39.0, elevID,0,  pos,-10,  cmd, goto,-10
39.0, elevID,1,  pos,-10,  cmd, goto,-10
39.0, elevID,3,  pos,-10,  cmd, goto,-10
40.0, elevID,0,  pos,-10,  cmd, goto,-10
40.0, elevID,1,  pos,-10,  cmd, goto,-10
40.0, elevID,3,  pos,-10,  cmd, goto,-10
41.0, elevID,0,  pos,-10,  cmd, goto,-10
41.0, elevID,1,  pos,-10,  cmd, goto,-10
41.0, elevID,3,  pos,-10,  cmd, goto,-10
42.0, elevID,0,  pos,-10,  cmd, goto,-10
42.0, elevID,1,  pos,-10,  cmd, goto,-10
42.0, elevID,3,  pos,-10,  cmd, goto,-10
43.0, elevID,0,  pos,-10,  cmd, goto,-10
43.0, elevID,1,  pos,-10,  cmd, goto,-10
43.0, elevID,3,  pos,-10,  cmd, goto,-10
44.0, elevID,0,  pos,-10,  cmd, goto,-10
44.0, elevID,1,  pos,-10,  cmd, goto,-10
44.0, elevID,3,  pos,-10,  cmd, goto,-10
45.0, elevID,0,  pos,-10,  cmd, goto,-10
45.0, elevID,1,  pos,-10,  cmd, goto,-10
45.0, elevID,3,  pos,-10,  cmd, goto,-10
46.0, elevID,0,  pos,-10,  cmd, goto,-10
46.0, elevID,1,  pos,-10,  cmd, goto,-10
46.0, elevID,3,  pos,-10,  cmd, goto,-10
47.0, elevID,0,  pos,-10,  cmd, goto,-10
47.0, elevID,1,  pos,-10,  cmd, goto,-10
47.0, elevID,3,  pos,-10,  cmd, goto,-10
48.0,Elevator call,47.1361150824805,-4,93,1,0, got allocated to elevator, 0
48.0, elevID,0,  pos,-10,  cmd, goto,-10
48.0, elevID,1,  pos,-10,  cmd, goto,-10
48.0, elevID,3,  pos,-10,  cmd, goto,-10
49.0,Elevator call,48.17946317881706,-7,5,1,1, got allocated to elevator, 1
49.0, elevID,0,  pos,-10,  cmd, goto,-10
49.0, elevID,1,  pos,-10,  cmd, goto,-10
49.0, elevID,3,  pos,-10,  cmd, goto,-10
50.0, elevID,0,  pos,-10,  cmd, goto,-10
50.0, elevID,1,  pos,-10,  cmd, goto,-10
50.0, elevID,3,  pos,-10,  cmd, goto,-10
51.0, elevID,0,  pos,-10,  cmd, goto,-10
51.0, elevID,1,  pos,-10,  cmd, goto,-10
51.0, elevID,3,  pos,-10,  cmd, goto,-10
52.0, elevID,0,  pos,-10,  cmd, goto,-10
52.0, elevID,1,  pos,-10,  cmd, goto,-10
52.0, elevID,3,  pos,-10,  cmd, goto,-10
53.0, elevID,0,  pos,-10,  cmd, goto,-10
53.0, elevID,1,  pos,-10,  cmd, goto,-10
53.0, elevID,3,  pos,-10,  cmd, goto,-10
54.0, elevID,0,  pos,-10,  cmd, goto,-10
54.0, elevID,1,  pos,-10,  cmd, goto,-10
54.0, elevID,3,  pos,-10,  cmd, goto,-10
55.0, elevID,0,  pos,-10,  cmd, goto,-10
55.0, elevID,1,  pos,-10,  cmd, goto,-10
55.0, elevID,3,  pos,-10,  cmd, goto,-10
56.0, elevID,0,  pos,-10,  cmd, goto,-10
56.0, elevID,1,  pos,-10,  cmd, goto,-10
56.0, elevID,3,  pos,-10,  cmd, goto,-10
57.0, elevID,0,  pos,-10,  cmd, goto,-10
57.0, elevID,1,  pos,-10,  cmd, goto,-10
57.0, elevID,3,  pos,-10,  cmd, goto,-10
58.0, elevID,0,  pos,-10,  cmd, goto,-10
58.0, elevID,1,  pos,-10,  cmd, goto,-10
58.0, elevID,3,  pos,-10,  cmd, goto,-10
59.0, elevID,0,  pos,-10,  cmd, goto,-10
59.0, elevID,1,  pos,-10,  cmd, goto,-10
59.0, elevID,3,  pos,-10,  cmd, goto,-10
60.0,Elevator call,59.41774733953457,-6,16,1,6, got allocated to elevator, 6
60.0,Elevator call,59.8832891414022,-1,95,1,7, got allocated to elevator, 7
60.0, elevID,0,  pos,-10,  cmd, goto,-10
60.0, elevID,1,  pos,-10,  cmd, goto,-10
60.0, elevID,3,  pos,-10,  cmd, goto,-10
60.0, elevID,6,  pos,-10,  cmd, goto,-10
60.0, elevID,7,  pos,-10,  cmd, goto,-10
61.0, elevID,0,  pos,-10,  cmd, goto,-10
61.0, elevID,1,  pos,-10,  cmd, goto,-10
61.0, elevID,3,  pos,-10,  cmd, goto,-10
61.0, elevID,6,  pos,-10,  cmd, goto,-10
61.0, elevID,7,  pos,-10,  cmd, goto,-10
62.0,Elevator call,61.94089619280976,-3,60,1,3, got allocated to elevator, 3
62.0, elevID,0,  pos,-10,  cmd, goto,-10
62.0, elevID,1,  pos,-10,  cmd, goto,-10
62.0, elevID,3,  pos,-10,  cmd, goto,-10
62.0, elevID,6,  pos,-10,  cmd, goto,-10
62.0, elevID,7,  pos,-10,  cmd, goto,-10
63.0, elevID,0,  pos,-10,  cmd, goto,-10
63.0, elevID,1,  pos,-10,  cmd, goto,-10
63.0, elevID,3,  pos,-10,  cmd, goto,-10
63.0, elevID,6,  pos,-10,  cmd, goto,-10
63.0, elevID,7,  pos,-10,  cmd, goto,-10
64.0, elevID,0,  pos,-10,  cmd, goto,-10
64.0, elevID,1,  pos,-10,  cmd, goto,-10
64.0, elevID,3,  pos,-10,  cmd, goto,-10
64.0, elevID,6,  pos,-10,  cmd, goto,-10
64.0, elevID,7,  pos,-10,  cmd, goto,-10
65.0, elevID,0,  pos,-10,  cmd, goto,-10
65.0, elevID,1,  pos,-10,  cmd, goto,-10
65.0, elevID,3,  pos,-10,  cmd, goto,-10
65.0, elevID,6,  pos,-10,  cmd, goto,-10
65.0, elevID,7,  pos,-10,  cmd, goto,-10
66.0,Elevator call,65.68076513617825,-2,61,1,7, got allocated to elevator, 7
66.0, elevID,0,  pos,-10,  cmd, goto,-10
66.0, elevID,1,  pos,-10,  cmd, goto,-10
66.0, elevID,3,  pos,-10,  cmd, goto,-10
66.0, elevID,6,  pos,-10,  cmd, goto,-10
66.0, elevID,7,  pos,-10,  cmd, goto,-10
67.0, elevID,0,  pos,-10,  cmd, goto,-10
67.0, elevID,1,  pos,-10,  cmd, goto,-10
67.0, elevID,3,  pos,-10,  cmd, goto,-10
67.0, elevID,6,  pos,-10,  cmd, goto,-10
67.0, elevID,7,  pos,-10,  cmd, goto,-10
68.0, elevID,0,  pos,-10,  cmd, goto,-10
68.0, elevID,1,  pos,-10,  cmd, goto,-10
68.0, elevID,3,  pos,-10,  cmd, goto,-10
68.0, elevID,6,  pos,-10,  cmd, goto,-10
68.0, elevID,7,  pos,-10,  cmd, goto,-10
69.0, elevID,0,  pos,-10,  cmd, goto,-10
69.0, elevID,1,  pos,-10,  cmd, goto,-10
69.0, elevID,3,  pos,-10,  cmd, goto,-10
69.0, elevID,6,  pos,-10,  cmd, goto,-10
69.0, elevID,7,  pos,-10,  cmd, goto,-10
70.0, elevID,0,  pos,-10,  cmd, goto,-10
70.0, elevID,1,  pos,-10,  cmd, goto,-10
70.0, elevID,3,  pos,-10,  cmd, goto,-10
70.0, elevID,6,  pos,-10,  cmd, goto,-10
70.0, elevID,7,  pos,-10,  cmd, goto,-10
71.0, elevID,0,  pos,-10,  cmd, goto,-10
71.0, elevID,1,  pos,-10,  cmd, goto,-10
71.0, elevID,3,  pos,-10,  cmd, goto,-10
71.0, elevID,6,  pos,-10,  cmd, goto,-10
71.0, elevID,7,  pos,-10,  cmd, goto,-10
72.0, elevID,0,  pos,-10,  cmd, goto,-10
72.0, elevID,1,  pos,-10,  cmd, goto,-10
72.0, elevID,3,  pos,-10,  cmd, goto,-10
72.0, elevID,6,  pos,-10,  cmd, goto,-10
72.0, elevID,7,  pos,-10,  cmd, goto,-10
